geneId,geneSymbol,diseaseId,diseaseName,diseaseClass,pmid,source,class
2,A2M,C0027051,Myocardial Infarction,C14,18382889,LHGDN,3393
2,A2M,C0004096,Asthma,C08;C20,7682483,BEFREE,2841
9,NAT1,C0004096,Asthma,C08;C20,11927838,LHGDN,2841
10,NAT2,C0004096,Asthma,C08;C20,20602614,BEFREE,2841
10,NAT2,C0004096,Asthma,C08;C20,16886893,BEFREE,2841
10,NAT2,C0004096,Asthma,C08;C20,12492617,BEFREE,2841
10,NAT2,C0004096,Asthma,C08;C20,23622008,BEFREE,2841
12,SERPINA3,C0027051,Myocardial Infarction,C14,18056971,LHGDN,3393
12,SERPINA3,C0004096,Asthma,C08;C20,23517041,BEFREE,2841
12,SERPINA3,C0004096,Asthma,C08;C20,2327559,BEFREE,2841
12,SERPINA3,C0004096,Asthma,C08;C20,2299303,BEFREE,2841
15,AANAT,C0004096,Asthma,C08;C20,18680475,BEFREE,2841
17,AAVS1,C0271650,Impaired glucose tolerance,C18,22808093,BEFREE,9351
19,ABCA1,C0007785,Cerebral Infarction,C10;C14,18841006,BEFREE,6713
19,ABCA1,C0027051,Myocardial Infarction,C14,16313984,BEFREE,3393
19,ABCA1,C0027051,Myocardial Infarction,C14,23555974,BEFREE,3393
19,ABCA1,C0027051,Myocardial Infarction,C14,24801707,BEFREE,3393
19,ABCA1,C0013537,Eclampsia,C13,23880356,BEFREE,10763
19,ABCA1,C0027051,Myocardial Infarction,C14,18706283,BEFREE,3393
19,ABCA1,C0027051,Myocardial Infarction,C14,14962947,LHGDN,3393
19,ABCA1,C0027051,Myocardial Infarction,C14,16313984,LHGDN,3393
19,ABCA1,C0013537,Eclampsia,C13,17113147,BEFREE,10763
19,ABCA1,C0007785,Cerebral Infarction,C10;C14,18566305,BEFREE,6713
19,ABCA1,C0271650,Impaired glucose tolerance,C18,24992457,BEFREE,9351
19,ABCA1,C0027051,Myocardial Infarction,C14,14962947,BEFREE,3393
19,ABCA1,C0027051,Myocardial Infarction,C14,14986172,BEFREE,3393
19,ABCA1,C0007785,Cerebral Infarction,C10;C14,18621447,BEFREE,6713
19,ABCA1,C0004096,Asthma,C08;C20,24813055,BEFREE,2841
19,ABCA1,C0027051,Myocardial Infarction,C14,26073400,BEFREE,3393
19,ABCA1,C0027051,Myocardial Infarction,C14,15837080,BEFREE,3393
19,ABCA1,C0027051,Myocardial Infarction,C14,24796288,BEFREE,3393
21,ABCA3,C0031190,Persistent Fetal Circulation Syndrome,C08;C16,25105258,BEFREE,10763
21,ABCA3,C0031190,Persistent Fetal Circulation Syndrome,C08;C16,17719949,BEFREE,10763
24,ABCA4,C0027051,Myocardial Infarction,C14,23727086,BEFREE,3393
24,ABCA4,C0027051,Myocardial Infarction,C14,16563363,BEFREE,3393
26,AOC1,C0004096,Asthma,C08;C20,17651147,BEFREE,2841
28,ABO,C0027051,Myocardial Infarction,C14,24902973,BEFREE,3393
28,ABO,C0027051,Myocardial Infarction,C14,23161703,BEFREE,3393
28,ABO,C0027051,Myocardial Infarction,C14,21945157,BEFREE,3393
28,ABO,C0027051,Myocardial Infarction,C14,23300549,BEFREE,3393
28,ABO,C0027051,Myocardial Infarction,C14,21239051,BEFREE,3393
28,ABO,C0004096,Asthma,C08;C20,16008680,BEFREE,2841
28,ABO,C0004096,Asthma,C08;C20,11491170,BEFREE,2841
28,ABO,C0027051,Myocardial Infarction,C14,19036074,BEFREE,3393
43,ACHE,C0027051,Myocardial Infarction,C14,21750701,BEFREE,3393
43,ACHE,C0004096,Asthma,C08;C20,23377347,BEFREE,2841
52,ACP1,C0004096,Asthma,C08;C20,16224193,BEFREE,2841
52,ACP1,C0271650,Impaired glucose tolerance,C18,11836311,BEFREE,9351
58,ACTA1,C0004096,Asthma,C08;C20,15696078,BEFREE,2841
59,ACTA2,C2931384,Moyamoya disease 1,C10;C14,25956231,BEFREE,6713
59,ACTA2,C2931384,Moyamoya disease 1,C10;C14,20970362,BEFREE,6713
59,ACTA2,C0027051,Myocardial Infarction,C14,24358288,CTD_human,3393
59,ACTA2,C0027051,Myocardial Infarction,C14,24243736,BEFREE,3393
59,ACTA2,C2931384,Moyamoya disease 1,C10;C14,19409525,BEFREE,6713
59,ACTA2,C2931384,Moyamoya disease 1,C10;C14,22831780,BEFREE,6713
60,ACTB,C0013537,Eclampsia,C13,17191257,BEFREE,10763
60,ACTB,C0004096,Asthma,C08;C20,12200519,BEFREE,2841
60,ACTB,C0004096,Asthma,C08;C20,15813808,BEFREE,2841
60,ACTB,C0162739,HELLP Syndrome,C13,11854637,BEFREE,10763
60,ACTB,C0004096,Asthma,C08;C20,17302903,BEFREE,2841
60,ACTB,C0004096,Asthma,C08;C20,8970374,BEFREE,2841
81,ACTN4,C0027719,Nephrosclerosis,C12;C13,14569107,BEFREE,10763
90,ACVR1,C0004096,Asthma,C08;C20,18292470,LHGDN,2841
91,ACVR1B,C0027051,Myocardial Infarction,C14,28214509,BEFREE,3393
92,ACVR2A,C0013537,Eclampsia,C13,18781190,BEFREE,10763
92,ACVR2A,C0013537,Eclampsia,C13,19126782,BEFREE,10763
92,ACVR2A,C0013537,Eclampsia,C13,25510903,BEFREE,10763
92,ACVR2A,C0013537,Eclampsia,C13,25659497,BEFREE,10763
93,ACVR2B,C0271650,Impaired glucose tolerance,C18,11334431,BEFREE,9351
94,ACVRL1,C0013537,Eclampsia,C13,22013081,BEFREE,10763
94,ACVRL1,C0034091,Pulmonary Veno-Occlusive Disease (disorder),C08;C14,26699722,BEFREE,10763
100,ADA,C0004096,Asthma,C08;C20,19019667,BEFREE,2841
100,ADA,C0004096,Asthma,C08;C20,16754522,BEFREE,2841
100,ADA,C0271650,Impaired glucose tolerance,C18,11852372,BEFREE,9351
100,ADA,C0004096,Asthma,C08;C20,16224193,BEFREE,2841
100,ADA,C0271650,Impaired glucose tolerance,C18,10388966,BEFREE,9351
100,ADA,C0004096,Asthma,C08;C20,15630434,BEFREE,2841
100,ADA,C0004096,Asthma,C08;C20,12774669,LHGDN,2841
101,ADAM8,C0027051,Myocardial Infarction,C14,21640993,BEFREE,3393
101,ADAM8,C0004096,Asthma,C08;C20,24147597,BEFREE,2841
101,ADAM8,C0004096,Asthma,C08;C20,17339047,BEFREE,2841
101,ADAM8,C0004096,Asthma,C08;C20,17088949,BEFREE,2841
101,ADAM8,C0027051,Myocardial Infarction,C14,19575316,BEFREE,3393
101,ADAM8,C0004096,Asthma,C08;C20,23837412,BEFREE,2841
101,ADAM8,C0004096,Asthma,C08;C20,17339047,LHGDN,2841
102,ADAM10,C0007785,Cerebral Infarction,C10;C14,23773531,BEFREE,6713
108,ADCY2,C0004096,Asthma,C08;C20,21912604,CTD_human,2841
117,ADCYAP1R1,C0004096,Asthma,C08;C20,21059121,CTD_human,2841
117,ADCYAP1R1,C0004096,Asthma,C08;C20,23328528,BEFREE,2841
118,ADD1,C0027051,Myocardial Infarction,C14,17189961,BEFREE,3393
118,ADD1,C0027051,Myocardial Infarction,C14,16420563,BEFREE,3393
118,ADD1,C0027051,Myocardial Infarction,C14,15301563,BEFREE,3393
118,ADD1,C0020474,Hyperlipidemia- Familial Combined,C16;C18,11775124,BEFREE,1168
118,ADD1,C0027051,Myocardial Infarction,C14,19145769,BEFREE,3393
118,ADD1,C0027051,Myocardial Infarction,C14,18458162,BEFREE,3393
118,ADD1,C0027051,Myocardial Infarction,C14,11926892,LHGDN,3393
118,ADD1,C0027051,Myocardial Infarction,C14,15039125,BEFREE,3393
118,ADD1,C0027051,Myocardial Infarction,C14,11926892,BEFREE,3393
118,ADD1,C0027051,Myocardial Infarction,C14,14684671,BEFREE,3393
